#generated by WebPlotDigitizer
#    lambda(nm)		u_a(cm-1)
313.95710826703566 51.50678076168122
334.2442061570392 39.19406774847217
364.769975786925 32.245905452963946
387.28813559322043 37.693909753883595
405.79384296091325 51.50678076168122
426.2193012798341 53.55666917706897
442.51124178484963 49.5353520895917
464.8910411622277 42.37587160604063
487.18436527153233 29.824712862168912
503.268765133172 17.26983290659436
515.3061224489796 10.811807510766078
527.3780698720167 7.318242219076174
541.5600138360429 5.790443980602483
559.9100657212038 5.568813990945267
586.4406779661017 5.568813990945267
606.8315461777931 5.3556669177068965
627.2397094430993 5.3556669177068965
643.5835351089589 5.568813990945267
663.9571082670357 5.150678076168122
686.3542026980284 4.581597669054486
712.8329297820824 4.075392965871778
737.201660325147 3.1011689265747786
751.3663092355586 2.359833466782194
769.5780006918021 1.6608827826277166
793.8948460740228 1.1242100350620863
816.1881701833275 0.7912342618981311
840.5569007263923 0.6020894493336125
856.7969560705637 0.495353520895916
885.2992044275336 0.4237587160604063
905.6554825319959 0.37693909753883637
932.1860947768937 0.37693909753883637
956.7796610169491 0.47639380104013307
969.128329297821 0.6020894493336125
981.3905223106192 0.6260516572014815
999.688689034936 0.5355666917706896
1013.887928052577 0.44062364277735727
1026.0463507436873 0.36251170499885277
1044.3272224143896 0.2982471286216888
1052.386717398824 0.23598334667821938
1068.6267727429956 0.19414919457438776
1078.7962642684192 0.17957144943716372
1093.1165686613629 0.19414919457438776
1103.3552404012453 0.20991037201085547
1119.7855413351783 0.26529484644318946
1136.3023175371845 0.4075392965871778
1144.655828433068 0.6260516572014815
1153.0093393289521 0.9617248711152965
1167.3988239363543 1.2154742500762858
1185.8007609823592 1.3141473626117555
1206.2262193012798 1.3664483492953243
1220.4773434797646 1.2638482029342972
1238.7928052576963 1.1242100350620863
1263.2998962296783 1.1689518164985777
1289.847803528191 1.2154742500762858
1314.4413697682462 1.5361749466718264
1335.022483569699 2.2695105366946686
1345.3130404704254 2.758531617629181
1363.7841577308889 3.486365227678084
1380.2490487720513 4.763938010401336
1386.5444482877897 7.0381355549315545
1394.9498443445175 12.15474250076286
1417.675544794189 22.695105366946684
1436.1812521618817 31.011689265747787
1466.8107921134558 32.245905452963946
1485.1089588377724 27.585316176291812
1505.44794188862 23.598334667821938
1521.670702179177 18.671810912919188
1537.876167416119 14.208308325339223
1552.1445866482188 13.664483492953257
1566.3092355586302 10.3979841848149
1584.607402282947 8.895134973108227
1600.8993427879627 8.227241341700465
